,IDPelanggan,Kelamin,Usia,Pendapatan (juta Rp),Rating_pengeluaran (1-100),cluster
78,79,Perempuan,23,54,52,1
79,80,Perempuan,49,54,42,1
80,81,Laki,57,54,51,1
81,82,Laki,38,54,55,1
82,83,Laki,67,54,41,1
83,84,Perempuan,46,54,44,1
84,85,Perempuan,21,54,57,1
85,86,Laki,48,54,46,1
86,87,Perempuan,55,57,58,1
87,88,Perempuan,22,57,55,1
88,89,Perempuan,34,58,60,1
89,90,Perempuan,50,58,46,1
90,91,Perempuan,68,59,55,1
91,92,Laki,18,59,41,1
92,93,Laki,48,60,49,1
93,94,Perempuan,40,60,40,1
94,95,Perempuan,32,60,42,1
95,96,Laki,24,60,52,1
96,97,Perempuan,47,60,47,1
97,98,Perempuan,27,60,50,1
98,99,Laki,48,61,42,1
99,100,Laki,20,61,49,1
100,101,Perempuan,23,62,41,1
101,102,Perempuan,49,62,48,1
102,103,Laki,67,62,59,1
103,104,Laki,26,62,55,1
104,105,Laki,49,62,56,1
105,106,Perempuan,21,62,42,1
106,107,Perempuan,66,63,50,1
107,108,Laki,54,63,46,1
108,109,Laki,68,63,43,1
109,110,Laki,66,63,48,1
110,111,Laki,65,63,52,1
111,112,Perempuan,19,63,54,1
112,113,Perempuan,38,64,42,1
113,114,Laki,19,64,46,1
114,115,Perempuan,18,65,48,1
115,116,Perempuan,19,65,50,1
116,117,Perempuan,63,65,43,1
117,118,Perempuan,49,65,59,1
118,119,Perempuan,51,67,43,1
119,120,Perempuan,50,67,57,1
120,121,Laki,27,67,56,1
121,122,Perempuan,38,67,40,1
122,123,Perempuan,40,69,58,1
123,124,Laki,39,69,91,2
124,125,Perempuan,23,70,29,1
125,126,Perempuan,31,70,77,2
126,127,Laki,43,71,35,1
127,128,Laki,40,71,95,2
128,129,Laki,59,71,11,0
129,130,Laki,38,71,75,2
130,131,Laki,47,71,9,0
131,132,Laki,39,71,75,2
132,133,Perempuan,25,72,34,1
133,134,Perempuan,31,72,71,2
134,135,Laki,20,73,5,0
135,136,Perempuan,29,73,88,2
136,137,Perempuan,44,73,7,0
137,138,Laki,32,73,73,2
138,139,Laki,19,74,10,0
139,140,Perempuan,35,74,72,2
140,141,Perempuan,57,75,5,0
141,142,Laki,32,75,93,2
142,143,Perempuan,28,76,40,1
143,144,Perempuan,32,76,87,2
144,145,Laki,25,77,12,0
145,146,Laki,28,77,97,2
146,147,Laki,48,77,36,1
147,148,Perempuan,32,77,74,2
148,149,Perempuan,34,78,22,0
149,150,Laki,34,78,90,2
150,151,Laki,43,78,17,0
151,152,Laki,39,78,88,2
152,153,Perempuan,44,78,20,0
153,154,Perempuan,38,78,76,2
154,155,Perempuan,47,78,16,0
155,156,Perempuan,27,78,89,2
156,157,Laki,37,78,1,0
157,158,Perempuan,30,78,78,2
158,159,Laki,34,78,1,0
159,160,Perempuan,30,78,73,2
160,161,Perempuan,56,79,35,1
161,162,Perempuan,29,79,83,2
162,163,Laki,19,81,5,0
163,164,Perempuan,31,81,93,2
164,165,Laki,50,85,26,0
165,166,Perempuan,36,85,75,2
166,167,Laki,42,86,20,0
167,168,Perempuan,33,86,95,2
168,169,Perempuan,36,87,27,0
169,170,Laki,32,87,63,2
170,171,Laki,40,87,13,0
171,172,Laki,28,87,75,2
172,173,Laki,36,87,10,0
173,174,Laki,36,87,92,2
174,175,Perempuan,52,88,13,0
175,176,Perempuan,30,88,86,2
176,177,Laki,58,88,15,0
177,178,Laki,27,88,69,2
178,179,Laki,59,93,14,0
179,180,Laki,35,93,90,2
180,181,Perempuan,37,97,32,0
181,182,Perempuan,32,97,86,2
182,183,Laki,46,98,15,0
183,184,Perempuan,29,98,88,2
184,185,Perempuan,41,99,39,0
185,186,Laki,30,99,97,2
186,187,Perempuan,54,101,24,0
187,188,Laki,28,101,68,2
188,189,Perempuan,41,103,17,0
189,190,Perempuan,36,103,85,2
190,191,Perempuan,34,103,23,0
191,192,Perempuan,32,103,69,2
192,193,Laki,33,113,8,0
193,194,Perempuan,38,113,91,2
194,195,Perempuan,47,120,16,0
195,196,Perempuan,35,120,79,2
196,197,Perempuan,45,126,28,0
197,198,Laki,32,126,74,2
198,199,Laki,32,137,18,0
199,200,Laki,30,137,83,2
